conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.89E+18,Sun Feb 23 13:38:50 +0000 2025,0,Banyaknya dukungan Tokoh pada program Makan Bergizi Gratis (MBG)#PenuhiGiziIndonesia https://t.co/xULJKHgAfa,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893653672912887808/pu/img/q2czbN5_RQtkYpX3.jpg,,in,,0,1,0,https://x.com/undefined/status/1893656767877267886,1.62E+18,
1.89E+18,Sun Feb 23 13:38:50 +0000 2025,0,Banyaknya dukungan Tokoh pada program Makan Bergizi Gratis (MBG)#PenuhiGiziIndonesia https://t.co/cK1aJGxcz4,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893653654294441984/pu/img/l7omuiA6sSa_PuwC.jpg,,in,,0,0,0,https://x.com/undefined/status/1893656765587198219,1.62E+18,
1.89E+18,Sun Feb 23 13:38:49 +0000 2025,0,Banyaknya dukungan Tokoh pada program Makan Bergizi Gratis (MBG)#PenuhiGiziIndonesia https://t.co/Q4fKuP9zny,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893653639144636416/pu/img/E8HpeNJA-kr-EUIi.jpg,,in,,0,0,0,https://x.com/undefined/status/1893656762701513055,1.62E+18,
1.89E+18,Sun Feb 23 13:38:05 +0000 2025,2,@KangManto123 Halahhh... makan bergizi gratis aja begini https://t.co/V3k17bxARN,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893656445670825984/pu/img/OQFJQXNkDQ9bJx5U.jpg,KangManto123,in,,0,0,0,https://x.com/undefined/status/1893656579796291865,1.27E+18,
1.89E+18,Sun Feb 23 13:33:02 +0000 2025,0,Makan bergizi gratis bantu tumbuh kembang anak demi Indonesia maju dan mandiri. #MakanBergiziGratis https://t.co/26Vl5MzJ76,1.89E+18,https://pbs.twimg.com/media/GkedQKBakAA2RJl.png,luarnalarmu,in,,0,1,0,https://x.com/undefined/status/1893655309886820840,1.48E+18,
1.89E+18,Sun Feb 23 13:32:59 +0000 2025,0,Anak sehat bangsa kuat! Program makan bergizi gratis tingkatkan kualitas SDM. #MakanBergiziGratis https://t.co/FSSoJYzlet,1.89E+18,https://pbs.twimg.com/media/GkedN4NWQAE5HRG.png,luarnalarmu,in,,0,1,0,https://x.com/undefined/status/1893655297132036285,1.48E+18,
1.89E+18,Sun Feb 23 13:32:57 +0000 2025,0,Sehat dan cerdas! Program makan bergizi gratis hadir untuk generasi emas Indonesia. #MakanBergiziGratis https://t.co/C3M79EIWVc,1.89E+18,https://pbs.twimg.com/media/GkedJwDWoAEesiT.png,luarnalarmu,in,,0,1,0,https://x.com/undefined/status/1893655285471879450,1.48E+18,
1.89E+18,Sun Feb 23 13:32:55 +0000 2025,0,Makan bergizi gratis untuk anak Indonesia wujud nyata kepedulian Prabowo-Gibran! #MakanBergiziGratis https://t.co/RJBJmld5yp,1.89E+18,https://pbs.twimg.com/media/GkedI2HWwAApdGe.png,,in,,0,1,0,https://x.com/undefined/status/1893655280354787645,1.48E+18,
1.89E+18,Sun Feb 23 13:20:59 +0000 2025,0,@prabowo Mewah banget itu air minumnya sementara makan bergizi gratis cuman 10rebu mana basi pulak tuh makanan plus pake ulat dan belatung sebagai bonus... cihuiiiii super bergizi... sehat sejahtera anak2 makan yaa yg banyak usahakan jgn sampe masuk UGD kt papa bear mah Ndasmu,1.89E+18,,prabowo,in,,0,0,0,https://x.com/undefined/status/1893652276343898617,1.05E+18,
1.89E+18,Sun Feb 23 13:18:20 +0000 2025,2,TNI-Polri Bersinergi Bagikan Makan Bergizi Gratis untuk Anak Sekolah di Medan. ,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893651497109340162/pu/img/3pOJaZ6TETFDnAow.jpg,,in,,0,1,0,https://x.com/undefined/status/1893651610217206133,9.58E+17,
